23:36:05.096 INFO   - Point::loadXml identifier=HQ34	point	122 identifierIndex=137 posScreen=(97.25, 1345.25) posGraph=(0, 0) ordinal=29
23:36:05.096 INFO   - Point::loadXml
23:36:05.096 INFO   - Point::loadXml identifier=HQ34	point	21 identifierIndex=137 posScreen=(100.006, 1248.49) posGraph=(0, 0) ordinal=30
23:36:05.096 INFO   - Point::loadXml
23:36:05.096 INFO   - Point::loadXml identifier=HQ34	point	121 identifierIndex=137 posScreen=(112.5, 1346.25) posGraph=(0, 0) ordinal=31
23:36:05.097 INFO   - Point::loadXml
23:36:05.097 INFO   - Point::loadXml identifier=HQ34	point	22 identifierIndex=137 posScreen=(114.293, 1241.74) posGraph=(0, 0) ordinal=32
23:36:05.097 INFO   - Point::loadXml
23:36:05.097 INFO   - Point::loadXml identifier=HQ34	point	120 identifierIndex=137 posScreen=(129, 1347.25) posGraph=(0, 0) ordinal=33
23:36:05.098 INFO   - Point::loadXml
23:36:05.098 INFO   - Point::loadXml identifier=HQ34	point	23 identifierIndex=137 posScreen=(129.373, 1234.2) posGraph=(0, 0) ordinal=34
23:36:05.098 INFO   - Point::loadXml
23:36:05.098 INFO   - Point::loadXml identifier=HQ34	point	24 identifierIndex=137 posScreen=(142.866, 1229.64) posGraph=(0, 0) ordinal=35
23:36:05.098 INFO   - Point::loadXml
23:36:05.099 INFO   - Point::loadXml identifier=HQ34	point	119 identifierIndex=137 posScreen=(147.75, 1347.75) posGraph=(0, 0) ordinal=36
23:36:05.099 INFO   - Point::loadXml
23:36:05.099 INFO   - Point::loadXml identifier=HQ34	point	25 identifierIndex=137 posScreen=(159.732, 1222.3) posGraph=(0, 0) ordinal=37
23:36:05.099 INFO   - Point::loadXml
23:36:05.099 INFO   - Point::loadXml identifier=HQ34	point	118 identifierIndex=137 posScreen=(171.5, 1348.5) posGraph=(0, 0) ordinal=38
23:36:05.100 INFO   - Point::loadXml
23:36:05.100 INFO   - Point::loadXml identifier=HQ34	point	26 identifierIndex=137 posScreen=(173.554, 1217.4) posGraph=(0, 0) ordinal=39
23:36:05.100 INFO   - Point::loadXml
23:36:05.100 INFO   - Point::loadXml identifier=HQ34	point	27 identifierIndex=137 posScreen=(185.208, 1213.93) posGraph=(0, 0) ordinal=40
23:36:05.101 INFO   - Point::loadXml
23:36:05.101 INFO   - Point::loadXml identifier=HQ34	point	28 identifierIndex=137 posScreen=(196.548, 1210.15) posGraph=(0, 0) ordinal=41
23:36:05.101 INFO   - Point::loadXml
23:36:05.101 INFO   - Point::loadXml identifier=HQ34	point	117 identifierIndex=137 posScreen=(202.5, 1349.75) posGraph=(0, 0) ordinal=42
23:36:05.101 INFO   - Point::loadXml
23:36:05.102 INFO   - Point::loadXml identifier=HQ34	point	29 identifierIndex=137 posScreen=(211.667, 1205.11) posGraph=(0, 0) ordinal=43
23:36:05.102 INFO   - Point::loadXml
23:36:05.102 INFO   - Point::loadXml identifier=HQ34	point	30 identifierIndex=137 posScreen=(227.101, 1201.02) posGraph=(0, 0) ordinal=44
23:36:05.102 INFO   - Point::loadXml
23:36:05.103 INFO   - Point::loadXml identifier=HQ34	point	116 identifierIndex=137 posScreen=(239.5, 1350) posGraph=(0, 0) ordinal=45
23:36:05.103 INFO   - Point::loadXml
23:36:05.103 INFO   - Point::loadXml identifier=HQ34	point	31 identifierIndex=137 posScreen=(244.425, 1195.98) posGraph=(0, 0) ordinal=46
23:36:05.103 INFO   - Point::loadXml
23:36:05.104 INFO   - Point::loadXml identifier=HQ34	point	32 identifierIndex=137 posScreen=(258.284, 1192.52) posGraph=(0, 0) ordinal=47
23:36:05.104 INFO   - Point::loadXml
23:36:05.104 INFO   - Point::loadXml identifier=HQ34	point	33 identifierIndex=137 posScreen=(278.75, 1186.75) posGraph=(0, 0) ordinal=48
23:36:05.104 INFO   - Point::loadXml
23:36:05.104 INFO   - Point::loadXml identifier=HQ34	point	115 identifierIndex=137 posScreen=(283, 1350.25) posGraph=(0, 0) ordinal=49
23:36:05.105 INFO   - Point::loadXml
23:36:05.105 INFO   - Point::loadXml identifier=HQ34	point	34 identifierIndex=137 posScreen=(301, 1182) posGraph=(0, 0) ordinal=50
23:36:05.105 INFO   - Point::loadXml
23:36:05.105 INFO   - Point::loadXml identifier=HQ34	point	114 identifierIndex=137 posScreen=(318.75, 1350.75) posGraph=(0, 0) ordinal=51
23:36:05.105 INFO   - Point::loadXml
23:36:05.106 INFO   - Point::loadXml identifier=HQ34	point	35 identifierIndex=137 posScreen=(322.75, 1177.75) posGraph=(0, 0) ordinal=52
23:36:05.106 INFO   - Point::loadXml
23:36:05.106 INFO   - Point::loadXml identifier=HQ34	point	36 identifierIndex=137 posScreen=(352.25, 1172.5) posGraph=(0, 0) ordinal=53
23:36:05.106 INFO   - Point::loadXml
23:36:05.107 INFO   - Point::loadXml identifier=HQ34	point	113 identifierIndex=137 posScreen=(358.25, 1350.75) posGraph=(0, 0) ordinal=54
23:36:05.107 INFO   - Point::loadXml
23:36:05.107 INFO   - Point::loadXml identifier=HQ34	point	37 identifierIndex=137 posScreen=(373.25, 1169.75) posGraph=(0, 0) ordinal=55
23:36:05.107 INFO   - Point::loadXml
23:36:05.107 INFO   - Point::loadXml identifier=HQ34	point	112 identifierIndex=137 posScreen=(396, 1350.75) posGraph=(0, 0) ordinal=56
23:36:05.108 INFO   - Point::loadXml
23:36:05.108 INFO   - Point::loadXml identifier=HQ34	point	38 identifierIndex=137 posScreen=(398, 1167) posGraph=(0, 0) ordinal=57
23:36:05.108 INFO   - Point::loadXml
23:36:05.108 INFO   - Point::loadXml identifier=HQ34	point	39 identifierIndex=137 posScreen=(424.25, 1164) posGraph=(0, 0) ordinal=58
23:36:05.109 INFO   - Point::loadXml
23:36:05.109 INFO   - Point::loadXml identifier=HQ34	point	111 identifierIndex=137 posScreen=(433.75, 1350) posGraph=(0, 0) ordinal=59
23:36:05.109 INFO   - Point::loadXml
23:36:05.109 INFO   - Point::loadXml identifier=HQ34	point	40 identifierIndex=137 posScreen=(450.75, 1162.25) posGraph=(0, 0) ordinal=60
23:36:05.110 INFO   - Point::loadXml
23:36:05.110 INFO   - Point::loadXml identifier=HQ34	point	110 identifierIndex=137 posScreen=(465.25, 1350) posGraph=(0, 0) ordinal=61
23:36:05.110 INFO   - Point::loadXml
23:36:05.110 INFO   - Point::loadXml identifier=HQ34	point	41 identifierIndex=137 posScreen=(480.5, 1161.75) posGraph=(0, 0) ordinal=62
23:36:05.111 INFO   - Point::loadXml
23:36:05.111 INFO   - Point::loadXml identifier=HQ34	point	109 identifierIndex=137 posScreen=(501.75, 1349.5) posGraph=(0, 0) ordinal=63
23:36:05.111 INFO   - Point::loadXml
23:36:05.111 INFO   - Point::loadXml identifier=HQ34	point	42 identifierIndex=137 posScreen=(511.5, 1161.5) posGraph=(0, 0) ordinal=64
23:36:05.111 INFO   - Point::loadXml
23:36:05.112 INFO   - Point::loadXml identifier=HQ34	point	43 identifierIndex=137 posScreen=(538.25, 1162) posGraph=(0, 0) ordinal=65
23:36:05.112 INFO   - Point::loadXml
23:36:05.112 INFO   - Point::loadXml identifier=HQ34	point	108 identifierIndex=137 posScreen=(538.5, 1348.75) posGraph=(0, 0) ordinal=66
23:36:05.112 INFO   - Point::loadXml
23:36:05.112 INFO   - Point::loadXml identifier=HQ34	point	44 identifierIndex=137 posScreen=(567.5, 1163) posGraph=(0, 0) ordinal=67
23:36:05.113 INFO   - Point::loadXml
23:36:05.113 INFO   - Point::loadXml identifier=HQ34	point	107 identifierIndex=137 posScreen=(571, 1348) posGraph=(0, 0) ordinal=68
23:36:05.113 INFO   - Point::loadXml
23:36:05.113 INFO   - Point::loadXml identifier=HQ34	point	45 identifierIndex=137 posScreen=(595.75, 1164.5) posGraph=(0, 0) ordinal=69
23:36:05.114 INFO   - Point::loadXml
23:36:05.114 INFO   - Point::loadXml identifier=HQ34	point	106 identifierIndex=137 posScreen=(609, 1347.75) posGraph=(0, 0) ordinal=70
23:36:05.114 INFO   - Point::loadXml
23:36:05.114 INFO   - Point::loadXml identifier=HQ34	point	46 identifierIndex=137 posScreen=(621.25, 1167.75) posGraph=(0, 0) ordinal=71
23:36:05.115 INFO   - Point::loadXml
23:36:05.115 INFO   - Point::loadXml identifier=HQ34	point	105 identifierIndex=137 posScreen=(643.25, 1347.5) posGraph=(0, 0) ordinal=72
23:36:05.115 INFO   - Point::loadXml
23:36:05.115 INFO   - Point::loadXml identifier=HQ34	point	47 identifierIndex=137 posScreen=(647.5, 1171.25) posGraph=(0, 0) ordinal=73
23:36:05.115 INFO   - Point::loadXml
23:36:05.116 INFO   - Point::loadXml identifier=HQ34	point	48 identifierIndex=137 posScreen=(668, 1174.5) posGraph=(0, 0) ordinal=74
23:36:05.116 INFO   - Point::loadXml
